ip4_prefix,number
104.17.59.0,44
104.16.222.0,44
217.160.82.0,3
104.25.21.0,40
104.28.150.0,42
192.16.0.0,13
104.28.48.0,40
194.58.192.0,5
104.20.130.0,43
104.16.241.0,42
151.101.201.0,15
172.64.175.0,44
200.3.122.0,2
104.27.173.0,40
69.36.145.0,7
104.28.73.0,43
104.16.59.0,40
64.185.167.0,8
104.16.41.0,42
78.142.18.0,4
104.17.91.0,45
207.171.179.0,15
104.17.249.0,44
104.28.156.0,40
35.186.192.0,27
104.27.22.0,42
207.223.169.0,10
167.89.16.0,3
185.187.152.0,6
35.190.57.0,27
35.186.216.0,30
104.31.113.0,42
104.25.43.0,42
104.17.115.0,44
172.64.143.0,44
163.47.111.0,2
167.89.66.0,3
204.74.115.0,7
104.27.29.0,40
99.197.99.0,5
104.31.211.0,40
104.16.203.0,43
65.22.116.0,4
172.64.56.0,38
114.141.73.0,8
104.25.202.0,40
162.159.4.0,47
162.159.30.0,45
199.182.162.0,4
104.19.226.0,40
65.22.245.0,4
104.19.140.0,39
192.230.123.0,14
104.28.57.0,42
5.200.5.0,4
185.102.216.0,4
170.169.65.0,4
65.22.80.0,4
104.27.91.0,44
35.190.64.0,24
104.17.209.0,44
104.31.226.0,40
104.31.28.0,46
35.190.88.0,26
104.24.224.0,42
104.193.183.0,14
104.28.146.0,43
104.28.251.0,40
192.58.193.0,3
104.28.93.0,42
104.27.242.0,42
104.26.2.0,40
104.17.109.0,43
35.190.89.0,27
35.190.11.0,30
208.109.255.0,10
35.190.75.0,24
69.16.132.0,3
104.16.47.0,40
35.190.81.0,25
104.25.103.0,42
104.28.177.0,40
165.87.201.0,4
35.186.237.0,28
17.253.206.0,16
104.27.196.0,40
104.31.209.0,39
198.7.31.0,7
104.28.245.0,42
104.27.183.0,40
104.28.54.0,43
108.59.164.0,8
104.24.29.0,40
199.182.0.0,4
107.154.151.0,6
104.23.132.0,43
35.190.35.0,28
208.54.71.0,3
150.164.22.0,2
45.116.91.0,8
157.52.97.0,18
104.16.107.0,45
104.27.78.0,40
76.9.12.0,4
64.96.240.0,4
104.16.230.0,44
13.107.43.0,14
69.169.231.0,2
151.101.209.0,2
35.190.13.0,25
70.40.4.0,9
104.24.199.0,42
104.25.171.0,42
104.20.222.0,46
199.73.83.0,10
104.16.195.0,44
72.14.249.0,10
194.0.25.0,6
50.31.243.0,8
185.38.98.0,7
216.87.154.0,6
