tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
me.,5,5,5,5,40,40,0,40,0,40,|,5,5,5,5,66,66,0,66,0,66,Anycast,Anycast
la.,4,4,4,2,30,15,0,15,0,15,|,4,4,4,2,66,33,0,33,0,33,Anycast,Anycast
vc.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
cl.,6,6,6,6,76,76,0,76,0,76,|,7,7,7,7,91,91,0,91,0,91,Anycast,Anycast
co.,6,6,6,6,55,55,0,55,0,55,|,6,6,6,6,101,101,0,101,0,101,Anycast,Anycast
lc.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
ca.,4,4,4,4,54,54,0,54,0,54,|,4,4,4,4,62,62,0,62,0,62,Anycast,Anycast
ky.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
fm.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,103,103,0,103,0,103,Anycast,Anycast
uk.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
tk.,4,4,4,4,24,24,0,24,0,24,|,4,4,4,4,12,12,0,12,0,12,Anycast,Anycast
gi.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
bm.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
cc.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
tv.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
gq.,4,4,4,4,26,26,0,26,0,26,|,4,4,4,4,19,19,0,19,0,19,Anycast,Anycast
sb.,4,4,4,4,54,54,0,54,0,54,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
bz.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
ga.,4,4,4,4,26,26,0,26,0,26,|,4,4,4,4,19,19,0,19,0,19,Anycast,Anycast
ml.,4,4,4,4,26,26,0,26,0,26,|,4,4,4,4,19,19,0,19,0,19,Anycast,Anycast
kn.,3,3,3,3,49,49,0,49,0,49,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
gs.,3,3,3,3,50,50,0,50,0,50,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
pw.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
ag.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
cf.,4,4,4,4,26,26,0,26,0,26,|,4,4,4,4,19,19,0,19,0,19,Anycast,Anycast
us.,6,6,6,6,52,52,0,52,0,52,|,6,6,6,6,102,102,0,102,0,102,Anycast,Anycast
af.,3,3,3,3,50,50,0,50,0,50,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
tl.,3,3,3,3,50,50,0,50,0,50,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
nf.,3,3,3,3,50,50,0,50,0,50,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
cx.,3,3,3,3,50,50,0,50,0,50,|,3,3,3,3,100,100,0,100,0,100,Anycast,Anycast
