tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
aramco.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--55qw42g.,5,5,5,0,0,0,5,0,5,5,|,5,5,5,0,0,0,5,0,5,5,Unicast,Unicast
xn--mgbt3dhd.,4,4,4,4,61,61,0,61,0,61,|,4,4,4,4,122,122,0,122,0,122,Anycast,Anycast
nissay.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
party.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,99,99,0,99,0,99,Anycast,Anycast
casino.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
ooo.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--fiq64b.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
casa.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
pid.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
kosher.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
sucks.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
asia.,6,6,6,6,46,46,0,46,0,46,|,6,6,6,6,78,78,0,78,0,78,Anycast,Anycast
save.,6,6,6,6,69,69,0,69,0,69,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
today.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bms.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
trv.,4,4,4,4,31,31,0,31,0,31,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
